timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708703709834,3029,B_0-171,200,OK,Thread Group 1-89,text,true,,2210,445,100,100,https://blazedemo.com/,3028,0,2007
1708703707470,5318,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-46,,true,,2248,445,100,100,null,0,76,4302
1708703707545,5318,B_0-171,200,OK,Thread Group 1-46,text,true,,2248,445,100,100,https://blazedemo.com/,5318,0,4302
1708703707616,5212,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-49,,true,,2288,445,100,100,null,0,37,4194
1708703707369,5480,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-44,,true,,2413,445,100,100,null,0,16,4460
1708703707652,5212,B_0-171,200,OK,Thread Group 1-49,text,true,,2288,445,100,100,https://blazedemo.com/,5106,0,4194
1708703707384,5480,B_0-171,200,OK,Thread Group 1-44,text,true,,2413,445,100,100,https://blazedemo.com/,5480,0,4460
1708703707690,5098,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-50,,true,,2253,445,100,100,null,0,79,4075
1708703707768,5098,B_0-171,200,OK,Thread Group 1-50,text,true,,2253,445,100,100,https://blazedemo.com/,5098,0,4075
1708703707234,5555,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-41,,true,,2292,445,100,100,null,0,79,4532
1708703707311,5555,B_0-171,200,OK,Thread Group 1-41,text,true,,2292,445,100,100,https://blazedemo.com/,5555,0,4532
1708703708127,4689,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-55,,true,,2214,445,100,100,null,0,55,3659
1708703708181,4689,B_0-171,200,OK,Thread Group 1-55,text,true,,2214,445,100,100,https://blazedemo.com/,4688,0,3659
1708703709763,3085,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-90,,true,,2254,445,100,100,null,0,74,2008
1708703709836,3085,B_0-171,200,OK,Thread Group 1-90,text,true,,2254,445,100,100,https://blazedemo.com/,3084,0,2008
1708703709361,3460,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-84,,true,,2222,445,100,100,null,0,106,2376
1708703709467,3460,B_0-171,200,OK,Thread Group 1-84,text,true,,2222,445,100,100,https://blazedemo.com/,3459,0,2376
1708703709195,3684,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-80,,true,,2306,445,100,100,null,0,52,2593
1708703709246,3684,B_0-171,200,OK,Thread Group 1-80,text,true,,2306,445,100,100,https://blazedemo.com/,3683,0,2593
1708703708756,4117,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-70,,true,,2311,445,100,100,null,0,78,3014
1708703708833,4117,B_0-171,200,OK,Thread Group 1-70,text,true,,2311,445,100,100,https://blazedemo.com/,4116,0,3014
1708703710190,2729,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-98,,true,,2273,445,100,100,null,0,39,1624
1708703710228,2729,B_0-171,200,OK,Thread Group 1-98,text,true,,2273,445,100,100,https://blazedemo.com/,2514,0,1624
1708703708068,4901,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-54,,true,,2360,445,100,100,null,0,11,3768
1708703708079,4901,B_0-171,200,OK,Thread Group 1-54,text,true,,2360,445,100,100,https://blazedemo.com/,4900,0,3768
1708703706623,6310,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-23,,true,,2251,445,100,100,null,0,53,5166
1708703706676,6310,B_0-171,200,OK,Thread Group 1-23,text,true,,2251,445,100,100,https://blazedemo.com/,6308,0,5166
1708703710236,2683,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-99,,true,,2196,445,100,100,null,0,74,1529
1708703710309,2683,B_0-171,200,OK,Thread Group 1-99,text,true,,2196,445,100,100,https://blazedemo.com/,2683,0,1529
1708703705368,6744,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2170,445,100,100,null,0,892,5576
1708703706259,6744,B_0-171,200,OK,Thread Group 1-3,text,true,,2170,445,100,100,https://blazedemo.com/,6740,0,5576
1708703705951,6784,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,true,,2285,445,100,100,null,0,298,5600
1708703706249,6784,B_0-171,200,OK,Thread Group 1-15,text,true,,2285,445,100,100,https://blazedemo.com/,6781,0,5600
1708703705667,6814,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2182,445,100,100,null,0,582,5591
1708703706249,6814,B_0-171,200,OK,Thread Group 1-6,text,true,,2182,445,100,100,https://blazedemo.com/,6814,0,5591
1708703709051,4020,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-77,,true,,2270,445,100,100,null,0,88,2719
1708703709139,4020,B_0-171,200,OK,Thread Group 1-77,text,true,,2270,445,100,100,https://blazedemo.com/,4019,0,2719
1708703706414,6704,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-18,,true,,2205,445,100,100,null,0,66,5364
1708703706479,6704,B_0-171,200,OK,Thread Group 1-18,text,true,,2205,445,100,100,https://blazedemo.com/,6703,0,5364
1708703708508,4506,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-63,,true,,2335,445,100,100,null,0,192,3141
1708703708699,4506,B_0-171,200,OK,Thread Group 1-63,text,true,,2335,445,100,100,https://blazedemo.com/,3985,0,3141
1708703706961,6230,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-31,,true,,2294,445,100,100,null,0,53,4825
1708703707014,6230,B_0-171,200,OK,Thread Group 1-31,text,true,,2294,445,100,100,https://blazedemo.com/,6229,0,4825
1708703708750,4415,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-67,,true,,2408,445,100,100,null,0,132,2956
1708703708882,4415,B_0-171,200,OK,Thread Group 1-67,text,true,,2408,445,100,100,https://blazedemo.com/,4407,0,2956
1708703706985,6288,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-35,,true,,2276,445,100,100,null,0,31,4823
1708703707015,6288,B_0-171,200,OK,Thread Group 1-35,text,true,,2276,445,100,100,https://blazedemo.com/,6282,0,4823
1708703707078,6208,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-39,,true,,2218,445,100,100,null,0,20,4736
1708703707098,6208,B_0-171,200,OK,Thread Group 1-39,text,true,,2218,445,100,100,https://blazedemo.com/,6207,0,4736
1708703707735,5578,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-52,,true,,2334,445,100,100,null,0,7,4104
1708703707741,5578,B_0-171,200,OK,Thread Group 1-52,text,true,,2334,445,100,100,https://blazedemo.com/,5578,0,4104
1708703707031,6244,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-38,,true,,2191,445,100,100,null,0,59,4761
1708703707090,6244,B_0-171,200,OK,Thread Group 1-38,text,true,,2191,445,100,100,https://blazedemo.com/,5709,0,4761
1708703708420,4867,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-61,,true,,2381,445,100,100,null,0,48,3370
1708703706416,6915,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-17,,true,,2267,445,100,100,null,0,4,5423
1708703708467,4867,B_0-171,200,OK,Thread Group 1-61,text,true,,2381,445,100,100,https://blazedemo.com/,4867,0,3370
1708703706419,6915,B_0-171,200,OK,Thread Group 1-17,text,true,,2267,445,100,100,https://blazedemo.com/,6915,0,5423
1708703709718,3587,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-88,,true,,2339,445,100,100,null,0,63,2052
1708703709779,3587,B_0-171,200,OK,Thread Group 1-88,text,true,,2339,445,100,100,https://blazedemo.com/,3571,0,2052
1708703709092,4174,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-78,,true,,2168,445,100,100,null,0,103,2637
1708703709195,4174,B_0-171,200,OK,Thread Group 1-78,text,true,,2168,445,100,100,https://blazedemo.com/,4173,0,2637
1708703709990,3352,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-94,,true,,2324,445,100,100,null,0,28,1815
1708703710015,3352,B_0-171,200,OK,Thread Group 1-94,text,true,,2324,445,100,100,https://blazedemo.com/,3352,0,1815
1708703705682,7367,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2378,445,100,100,null,0,333,5820
1708703706015,7367,B_0-171,200,OK,Thread Group 1-9,text,true,,2378,445,100,100,https://blazedemo.com/,7366,0,5820
1708703708808,4511,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-69,,true,,2379,445,100,100,null,0,102,2923
1708703708909,4511,B_0-171,200,OK,Thread Group 1-69,text,true,,2379,445,100,100,https://blazedemo.com/,4486,0,2923
1708703709847,3569,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-92,,true,,2258,445,100,100,null,0,11,1982
1708703709858,3569,B_0-171,200,OK,Thread Group 1-92,text,true,,2258,445,100,100,https://blazedemo.com/,3569,0,1982
1708703707528,5906,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-47,,true,,2194,445,100,100,null,0,14,4297
1708703707541,5906,B_0-171,200,OK,Thread Group 1-47,text,true,,2194,445,100,100,https://blazedemo.com/,5902,0,4297
1708703709813,3651,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-91,,true,,2209,445,100,100,null,0,42,1979
1708703709855,3651,B_0-171,200,OK,Thread Group 1-91,text,true,,2209,445,100,100,https://blazedemo.com/,3648,0,1979
1708703706927,6686,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-34,,true,,2379,445,100,100,null,0,32,4872
1708703706958,6686,B_0-171,200,OK,Thread Group 1-34,text,true,,2379,445,100,100,https://blazedemo.com/,6678,0,4872
1708703705804,7626,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,2331,445,100,100,null,0,222,5905
1708703706025,7626,B_0-171,200,OK,Thread Group 1-13,text,true,,2331,445,100,100,https://blazedemo.com/,7626,0,5905
1708703705327,7408,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2267,445,100,100,null,0,924,5579
1708703706251,7408,B_0-171,200,OK,Thread Group 1-2,text,true,,2267,445,100,100,https://blazedemo.com/,7407,0,5579
1708703705744,7622,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,2196,445,100,100,null,0,507,5585
1708703706250,7622,B_0-171,200,OK,Thread Group 1-12,text,true,,2196,445,100,100,https://blazedemo.com/,7264,0,5585
1708703708162,5708,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-56,,true,,2195,445,100,100,null,0,40,3634
1708703708201,5708,B_0-171,200,OK,Thread Group 1-56,text,true,,2195,445,100,100,https://blazedemo.com/,5220,0,3634
1708703705678,7727,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2352,445,100,100,null,0,584,5571
1708703706262,7727,B_0-171,200,OK,Thread Group 1-4,text,true,,2352,445,100,100,https://blazedemo.com/,7362,0,5571
1708703709206,4696,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-81,,true,,2226,445,100,100,null,0,97,4217
1708703709302,4696,B_0-171,200,OK,Thread Group 1-81,text,true,,2226,445,100,100,https://blazedemo.com/,4695,0,4217
1708703706771,7352,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-27,,true,,2277,445,100,100,null,0,6,5066
